id;numero;data;riferimento;tipo;totale;residuo;stato_pagamento
10746;ACQ/2023/12/0001;2023-12-31;2143/FN;in_invoice;18.29;0.0;not_paid
10807;ACQ/2023/12/0002;2023-12-31;7409;in_invoice;202.78;0.0;not_paid
10745;ACQ/2024/01/0016;2024-01-31;134/FN;in_invoice;106.28;0.0;not_paid
10240;ACQ/2024/02/0015;2024-02-29;381/FN;in_invoice;41.25;0.0;not_paid
10747;ACQ/2024/02/0016;2024-02-29;417/FN;in_invoice;47.82;0.0;not_paid
10744;ACQ/2024/02/0017;2024-02-29;446/FN;in_invoice;90.86;0.0;not_paid
10826;ACQ/2024/02/0018;2024-02-29;669;in_invoice;95.65;0.0;not_paid
10282;ACQ/2024/02/0019;2024-02-29;792;in_invoice;272.26;0.0;not_paid
10827;ACQ/2024/02/0020;2024-02-29;921;in_invoice;69.34;0.0;not_paid
10299;ACQ/2024/03/0025;2024-03-31;1174;in_invoice;222.86;0.0;not_paid
10316;ACQ/2024/03/0026;2024-03-31;1244;in_invoice;105.21;0.0;not_paid
10688;ACQ/2024/05/0002;2024-05-31;2545;in_invoice;142.52;0.0;not_paid
10618;ACQ/2024/05/0003;2024-05-31;880/FN;in_invoice;50.22;0.0;not_paid
10715;ACQ/2024/06/0025;2024-06-30;2775;in_invoice;143.47;0.0;not_paid
10717;ACQ/2024/06/0026;2024-06-30;2886;in_invoice;83.22;0.0;not_paid
10614;ACQ/2024/06/0027;2024-06-30;938/FN;in_invoice;107.61;0.0;not_paid
10616;ACQ/2024/06/0028;2024-06-30;953/FN;in_invoice;23.18;0.0;not_paid
10615;ACQ/2024/07/0030;2024-07-31;1103/FN;in_invoice;95.65;0.0;not_paid
10617;ACQ/2024/07/0031;2024-07-31;1112/FN;in_invoice;23.31;0.0;not_paid
10613;ACQ/2024/07/0032;2024-07-31;1158/FN;in_invoice;86.08;0.0;not_paid
10612;ACQ/2024/07/0033;2024-07-31;1169/FN;in_invoice;105.21;0.0;not_paid
10701;ACQ/2024/07/0034;2024-07-31;3477;in_invoice;257.06;0.0;not_paid
10608;ACQ/2024/07/0035;2024-07-31;3484;in_invoice;390.84;0.0;not_paid
10700;ACQ/2024/07/0036;2024-07-31;3554;in_invoice;262.32;0.0;not_paid
10716;ACQ/2024/07/0037;2024-07-31;3621;in_invoice;143.47;0.0;not_paid
10658;ACQ/2024/07/0038;2024-07-31;3654;in_invoice;271.78;0.0;not_paid
10610;ACQ/2024/07/0039;2024-07-31;3715;in_invoice;71.02;0.0;not_paid
10719;ACQ/2024/07/0040;2024-07-31;3816;in_invoice;71.02;0.0;not_paid
10718;ACQ/2024/07/0041;2024-07-31;3902;in_invoice;71.02;0.0;not_paid
10662;ACQ/2024/08/0022;2024-08-31;4349;in_invoice;673.22;0.0;not_paid
10484;ACQ/2024/09/0008;2024-09-30;1523/FN;in_invoice;129.12;0.0;not_paid
10549;ACQ/2024/09/0009;2024-09-30;4977;in_invoice;143.47;0.0;not_paid
10478;ACQ/2024/09/0010;2024-09-30;5067;in_invoice;333.33;0.0;not_paid
10541;ACQ/2024/09/0011;2024-09-30;5167;in_invoice;276.66;0.0;not_paid
9858;ACQ/2024/10/0024;2024-10-31;1662/FN;in_invoice;76.52;0.0;not_paid
10482;ACQ/2024/10/0025;2024-10-31;1663/FN;in_invoice;62.17;0.0;not_paid
10486;ACQ/2024/10/0026;2024-10-31;1868/FN;in_invoice;74.6;0.0;not_paid
9852;ACQ/2024/10/0027;2024-10-31;5613;in_invoice;1039.97;0.0;not_paid
10483;RACQ/2024/10/0003;2024-10-31;10/NCN;in_refund;76.52;76.52;not_paid
10485;ACQ/2024/11/0030;2024-11-30;2002/FN;in_invoice;47.82;0.0;not_paid
10480;ACQ/2024/11/0031;2024-11-30;2035/FN;in_invoice;70.06;0.0;not_paid
9855;ACQ/2024/11/0032;2024-11-30;6577;in_invoice;299.85;0.0;not_paid
10540;ACQ/2024/11/0033;2024-11-30;6707;in_invoice;171.21;0.0;not_paid
9851;ACQ/2024/11/0034;2024-11-30;6953;in_invoice;1555.61;0.0;not_paid
9850;ACQ/2024/11/0035;2024-11-30;7043;in_invoice;4648.35;0.0;not_paid
9864;RACQ/2024/12/0002;2024-12-31;2145;in_refund;18.3;18.3;not_paid
9861;RACQ/2024/12/0003;2024-12-31;2146;in_refund;46.97;46.97;not_paid
10121;ACQ/2025/01/0024;2025-01-31;175/FN;in_invoice;71.74;0.0;not_paid
10114;ACQ/2025/01/0025;2025-01-31;24/FN;in_invoice;71.74;0.0;not_paid
10172;ACQ/2025/01/0026;2025-01-31;523;in_invoice;237.68;0.0;not_paid
10113;ACQ/2025/01/0027;2025-01-31;578;in_invoice;143.47;0.0;not_paid
10120;RACQ/2025/01/0002;2025-01-31;2/NCN;in_refund;62.17;62.17;not_paid
10115;ACQ/2025/02/0015;2025-02-28;242/FN;in_invoice;49.49;0.0;not_paid
10122;ACQ/2025/02/0016;2025-02-28;333/FN;in_invoice;21.13;0.0;not_paid
10116;ACQ/2025/02/0017;2025-02-28;356/FN;in_invoice;95.65;1.44;not_paid
10173;ACQ/2025/02/0018;2025-02-28;645;in_invoice;243.19;0.0;not_paid
10174;ACQ/2025/02/0019;2025-02-28;904;in_invoice;247.24;247.24;not_paid
10125;RACQ/2025/02/0001;2025-02-28;188;in_refund;243.39;243.39;not_paid
10194;ACQ/2025/03/0015;2025-03-31;1025;in_invoice;71.02;0.0;not_paid
10176;ACQ/2025/03/0016;2025-03-31;1162;in_invoice;219.74;219.74;not_paid
10193;ACQ/2025/03/0017;2025-03-31;1225;in_invoice;239.12;0.0;not_paid
10175;ACQ/2025/03/0018;2025-03-31;1293;in_invoice;171.92;0.0;not_paid
10163;ACQ/2025/03/0019;2025-03-31;1322;in_invoice;242.58;0.0;not_paid
10171;ACQ/2025/03/0020;2025-03-31;1337;in_invoice;476.09;0.0;not_paid
10119;ACQ/2025/03/0021;2025-03-31;382/FN;in_invoice;47.82;0.0;not_paid
10124;ACQ/2025/03/0022;2025-03-31;386/FN;in_invoice;137.25;0.0;not_paid
10123;ACQ/2025/03/0023;2025-03-31;410/FN;in_invoice;152.16;152.16;not_paid
10117;ACQ/2025/03/0024;2025-03-31;429/FN;in_invoice;95.65;0.0;not_paid
10118;ACQ/2025/03/0025;2025-03-31;439/FN;in_invoice;68.65;0.0;not_paid
12039;ACQ/2025/03/0067;2025-03-31;1322;in_invoice;242.58;0.0;not_paid
11392;ACQ/2025/04/0033;2025-04-30;629/FN;in_invoice;263.03;0.0;not_paid
11395;ACQ/2025/04/0050;2025-04-30;1606;in_invoice;214.49;0.0;not_paid
11394;ACQ/2025/04/0063;2025-04-30;551/FN;in_invoice;10.64;0.0;not_paid
11393;ACQ/2025/04/0064;2025-04-30;546/FN;in_invoice;21.13;0.0;not_paid
11837;ACQ/2025/05/0046;2025-05-31;2313;in_invoice;142.03;142.03;not_paid
11835;ACQ/2025/05/0049;2025-05-31;718/FN;in_invoice;74.73;74.73;not_paid
11836;ACQ/2025/05/0050;2025-05-31;737/FN;in_invoice;210.43;210.43;not_paid
12049;ACQ/2025/06/0063;2025-06-23;2585;in_invoice;104.36;104.36;not_paid
12051;ACQ/2025/06/0064;2025-06-23;2642;in_invoice;262.32;262.32;not_paid
12050;ACQ/2025/06/0065;2025-06-23;841/FN;in_invoice;71.02;71.02;not_paid
12730;ACQ/2025/06/0072;2025-06-26;862/FN;in_invoice;304.16;304.16;not_paid
12868;ACQ/2025/06/0087;2025-06-30;901/FN;in_invoice;414.62;414.62;not_paid
12924;ACQ/2025/07/0005;2025-07-08;928/FN;in_invoice;405.06;405.06;not_paid
13106;ACQ/2025/07/0023;2025-07-21;3328;in_invoice;464.84;464.84;not_paid
13147;ACQ/2025/07/0029;2025-07-25;1018/FN;in_invoice;213.06;0.0;not_paid
13193;ACQ/2025/07/0045;2025-07-29;1040/FN;in_invoice;11.96;0.25;not_paid
13542;ACQ/2025/08/0036;2025-08-18;3942;in_invoice;5517.48;16.2;not_paid
13540;ACQ/2025/08/0037;2025-08-18;4145;in_invoice;281.82;281.82;not_paid
13541;RACQ/2025/08/0003;2025-08-18;1216;in_refund;648.38;648.38;not_paid
13681;ACQ/2025/08/0057;2025-08-26;1194/FN;in_invoice;97.2;2.59;not_paid
13680;ACQ/2025/08/0059;2025-08-26;4206;in_invoice;142.03;0.0;not_paid
13754;ACQ/2025/08/0064;2025-08-29;1204/FN;in_invoice;8.37;2.74;not_paid
13870;RACQ/2025/08/0002;2025-08-31;1369;in_refund;348.92;348.92;not_paid
13925;ACQ/2025/09/0023;2025-09-10;4570;in_invoice;837.41;2.59;not_paid
13924;ACQ/2025/09/0024;2025-09-10;4606;in_invoice;1121.08;0.0;not_paid
14034;ACQ/2025/09/0054;2025-09-19;4788;in_invoice;123.74;123.74;not_paid
14032;ACQ/2025/09/0056;2025-09-19;4847;in_invoice;310.14;0.0;not_paid
14033;ACQ/2025/09/0057;2025-09-19;4836;in_invoice;355.09;0.0;not_paid
14078;ACQ/2025/09/0061;2025-09-23;4895;in_invoice;528.7;0.0;not_paid
14150;ACQ/2025/09/0076;2025-09-29;4967;in_invoice;213.06;0.0;not_paid
14193;ACQ/2025/09/0079;2025-09-30;5099;in_invoice;1197.59;0.0;not_paid
14194;ACQ/2025/09/0080;2025-09-30;5103;in_invoice;913.51;913.51;not_paid
14192;RACQ/2025/09/0001;2025-09-30;1553;in_refund;170.97;170.97;not_paid
14435;ACQ/2025/10/0033;2025-10-22;1544/FN;in_invoice;63.38;0.0;not_paid
15474;ACQ/2025/10/0048;2025-10-28;1583/FN;in_invoice;213.06;213.06;not_paid
15925;ACQ/2025/10/0072;2025-10-31;1665/FN;in_invoice;74.73;0.0;not_paid
15923;ACQ/2025/10/0073;2025-10-31;5904;in_invoice;243.9;0.0;not_paid
15922;ACQ/2025/10/0074;2025-10-31;5935;in_invoice;123.74;0.0;not_paid
15929;ACQ/2025/10/0078;2025-10-31;5873;in_invoice;1107.46;0.0;not_paid
15934;ACQ/2025/10/0082;2025-10-31;5801;in_invoice;1192.09;1192.09;not_paid
15950;ACQ/2025/10/0083;2025-10-31;1603/FN;in_invoice;0.0;0.0;not_paid
15924;RACQ/2025/10/0002;2025-10-31;1812;in_refund;70.76;70.76;not_paid
15935;RACQ/2025/10/0003;2025-10-31;1790;in_refund;1098.46;1098.46;not_paid
15876;ACQ/2025/11/0030;2025-11-22;1766/FN;in_invoice;14.95;0.0;not_paid
15887;ACQ/2025/11/0036;2025-11-22;6144;in_invoice;142.03;142.03;not_paid
15896;ACQ/2025/11/0048;2025-11-22;1684/FN;in_invoice;284.08;0.0;not_paid
15900;ACQ/2025/11/0050;2025-11-22;6055;in_invoice;1674.88;1674.88;not_paid
15889;ACQ/2025/11/0051;2025-11-22;6107;in_invoice;213.41;124.74;not_paid
15886;ACQ/2025/11/0052;2025-11-22;6157;in_invoice;509.33;509.33;not_paid
15888;RACQ/2025/11/0003;2025-11-22;1874;in_refund;355.09;355.09;not_paid
15999;ACQ/2025/11/0046;2025-11-27;6600;in_invoice;985.17;64.88;not_paid
16038;ACQ/2025/11/0020;2025-11-30;6930;in_invoice;836.99;0.0;not_paid
16028;ACQ/2025/11/0021;2025-11-30;6932;in_invoice;1238.72;432.3;not_paid
16007;ACQ/2025/11/0022;2025-11-30;6690;in_invoice;478.24;0.0;not_paid
16017;ACQ/2025/11/0023;2025-11-30;6827;in_invoice;816.67;0.0;not_paid
16018;RACQ/2025/11/0002;2025-11-30;2004;in_refund;174.46;174.46;not_paid
16429;ACQ/2025/12/0024;2025-12-11;7097;in_invoice;258.25;0.0;not_paid
16430;ACQ/2025/12/0025;2025-12-11;7068;in_invoice;143.47;0.0;not_paid
16469;ACQ/2025/12/0020;2025-12-12;1919/FN;in_invoice;205.64;0.0;not_paid
16836;ACQ/2025/12/0031;2025-12-15;7213;in_invoice;836.99;0.0;not_paid
17087;ACQ/2025/12/0067;2025-12-29;2091/FN;in_invoice;243.9;0.0;not_paid
17085;ACQ/2025/12/0068;2025-12-29;7530;in_invoice;401.72;0.0;not_paid
17086;ACQ/2025/12/0069;2025-12-29;7685;in_invoice;143.47;0.0;not_paid
17088;RACQ/2025/12/0001;2025-12-29;2152;in_refund;239.73;239.73;not_paid
17107;ACQ/2025/12/0066;2025-12-30;7760;in_invoice;837.41;0.0;not_paid
17217;ACQ/2025/12/0088;2025-12-31;7770;in_invoice;502.15;23.91;not_paid
17339;ACQ/2025/12/0097;2025-12-31;7783;in_invoice;2035.07;2035.07;not_paid
17611;ACQ/2026/01/0070;2026-01-31;508;in_invoice;2349.41;275.38;not_paid
17612;RACQ/2026/01/0002;2026-01-31;144;in_refund;244.29;244.29;not_paid
17682;ACQ/2026/02/0018;2026-02-12;231/FN;in_invoice;123.74;0.0;not_paid
17684;ACQ/2026/02/0019;2026-02-12;214/FN;in_invoice;41.85;0.0;not_paid
18422;ACQ/2026/03/0022;2026-03-31;1481;in_invoice;3358.53;3358.53;not_paid
18392;ACQ/2026/03/0024;2026-03-31;1710;in_invoice;1662.37;1662.37;not_paid
18393;ACQ/2026/03/0025;2026-03-31;495;in_invoice;413.1;413.1;not_paid
18423;RACQ/2026/03/0001;2026-03-31;405;in_refund;280.6;280.6;not_paid
18492;ACQ/2026/04/0001;2026-04-14;1756;in_invoice;298.22;298.22;not_paid
43190;ACQ/2026/04/0044;2026-04-30;1947;in_invoice;1340.63;1340.63;not_paid
43220;ACQ/2026/04/0045;2026-04-30;2103;in_invoice;299.95;299.95;not_paid
43221;ACQ/2026/04/0046;2026-04-30;620/FN;in_invoice;3.77;3.77;not_paid
43234;ACQ/2026/04/0055;2026-04-30;2121;in_invoice;62.27;62.27;not_paid
43191;RACQ/2026/04/0002;2026-04-30;574;in_refund;90.89;90.89;not_paid
